uniprot_id,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
A0A380PJR2,0.121,0.104,0.775,0.256,0.483,0.382,0.053,0.119,0.104,0.121,0.775,0.499,0.209,0.366,0.153,0.051,0.245,0.505,0.495
A0A3F3IEK2,0.124,0.049,0.827,0.228,0.549,0.434,0.035,0.13,0.049,0.124,0.827,0.592,0.208,0.246,0.142,0.058,0.208,0.439,0.561
A0A6L0XH39,0.161,0.128,0.711,0.244,0.426,0.341,0.054,0.09,0.128,0.161,0.711,0.435,0.256,0.385,0.159,0.039,0.222,0.479,0.521
A0A6L8P2U9,0.123,0.08,0.797,0.235,0.533,0.433,0.029,0.129,0.08,0.123,0.797,0.536,0.181,0.298,0.138,0.046,0.246,0.453,0.547
A0A6L8Q2B7,0.128,0.116,0.756,0.21,0.511,0.409,0.059,0.101,0.116,0.128,0.756,0.523,0.222,0.329,0.106,0.059,0.214,0.474,0.526
A0A8C0QLS2,0.145,0.111,0.744,0.226,0.477,0.414,0.08,0.067,0.111,0.145,0.744,0.479,0.265,0.341,0.137,0.041,0.232,0.479,0.521
A0A8C0SKI4,0.17,0.117,0.714,0.209,0.466,0.354,0.034,0.117,0.117,0.17,0.714,0.466,0.243,0.345,0.146,0.034,0.189,0.437,0.563
A0A8C0THM6,0.122,0.108,0.77,0.191,0.545,0.45,0.062,0.096,0.108,0.122,0.77,0.533,0.218,0.338,0.12,0.042,0.242,0.51,0.49
A0A8I3N393,0.112,0.091,0.797,0.216,0.548,0.456,0.033,0.071,0.091,0.112,0.797,0.531,0.178,0.382,0.154,0.05,0.324,0.581,0.419
A0A8I3NDW2,0.145,0.141,0.714,0.181,0.507,0.457,0.04,0.058,0.141,0.145,0.714,0.493,0.21,0.38,0.127,0.018,0.264,0.569,0.431
A0AVT1,0.118,0.075,0.806,0.21,0.53,0.461,0.059,0.066,0.075,0.118,0.806,0.503,0.244,0.336,0.131,0.027,0.275,0.557,0.443
A0JN73,0.118,0.111,0.77,0.237,0.491,0.415,0.028,0.105,0.111,0.118,0.77,0.47,0.188,0.383,0.132,0.031,0.275,0.53,0.47
A0MJA4,0.12,0.115,0.764,0.207,0.524,0.418,0.034,0.111,0.115,0.12,0.764,0.51,0.188,0.341,0.091,0.043,0.231,0.505,0.495
A0MJA5,0.172,0.092,0.736,0.212,0.494,0.432,0.097,0.069,0.092,0.172,0.736,0.476,0.299,0.34,0.131,0.041,0.264,0.52,0.48
A0QNE0,0.107,0.099,0.794,0.221,0.529,0.467,0.058,0.071,0.099,0.107,0.794,0.523,0.208,0.358,0.12,0.039,0.272,0.583,0.417
A0QVH7,0.159,0.092,0.75,0.229,0.482,0.402,0.086,0.09,0.092,0.159,0.75,0.491,0.283,0.337,0.128,0.046,0.247,0.505,0.495
A0R607,0.176,0.153,0.671,0.194,0.441,0.331,0.039,0.101,0.153,0.176,0.671,0.471,0.252,0.351,0.125,0.054,0.172,0.415,0.585
A0R666,0.135,0.137,0.728,0.207,0.477,0.389,0.041,0.089,0.137,0.135,0.728,0.475,0.22,0.363,0.116,0.047,0.216,0.467,0.533
A0SYQ0,0.12,0.086,0.794,0.315,0.409,0.36,0.066,0.071,0.086,0.12,0.794,0.486,0.257,0.385,0.231,0.03,0.225,0.561,0.439
A0T123,0.099,0.138,0.763,0.205,0.494,0.437,0.077,0.068,0.138,0.099,0.763,0.503,0.24,0.37,0.121,0.026,0.2,0.557,0.443
A0ZX81,0.114,0.087,0.8,0.244,0.514,0.478,0.053,0.07,0.087,0.114,0.8,0.473,0.208,0.355,0.114,0.06,0.338,0.606,0.394
A1E3K9,0.143,0.161,0.696,0.153,0.504,0.437,0.053,0.058,0.161,0.143,0.696,0.48,0.236,0.361,0.089,0.04,0.223,0.499,0.501
A1XG20,0.1,0.062,0.838,0.189,0.629,0.537,0.042,0.1,0.062,0.1,0.838,0.637,0.162,0.274,0.108,0.042,0.293,0.533,0.467
A1YYP7,0.139,0.123,0.738,0.227,0.482,0.396,0.086,0.07,0.123,0.139,0.738,0.491,0.253,0.37,0.132,0.073,0.247,0.498,0.502
A1Z1Q3,0.123,0.056,0.821,0.2,0.584,0.477,0.079,0.105,0.056,0.123,0.821,0.605,0.24,0.26,0.128,0.056,0.251,0.523,0.477
A1ZA98,0.154,0.108,0.739,0.245,0.446,0.359,0.035,0.095,0.108,0.154,0.739,0.463,0.237,0.349,0.143,0.041,0.22,0.446,0.554
A2AGL3,0.115,0.087,0.798,0.218,0.546,0.465,0.045,0.097,0.087,0.115,0.798,0.583,0.194,0.294,0.139,0.042,0.213,0.488,0.512
A2APX8,0.118,0.071,0.811,0.219,0.562,0.468,0.049,0.101,0.071,0.118,0.811,0.592,0.197,0.268,0.11,0.071,0.258,0.515,0.485
A2RI47,0.161,0.152,0.687,0.243,0.4,0.345,0.054,0.045,0.152,0.161,0.687,0.408,0.259,0.428,0.163,0.035,0.247,0.505,0.495
A2RP81,0.085,0.063,0.852,0.217,0.595,0.459,0.046,0.134,0.063,0.085,0.852,0.632,0.171,0.285,0.157,0.048,0.219,0.51,0.49
A2TEF2,0.086,0.077,0.837,0.217,0.584,0.463,0.04,0.145,0.077,0.086,0.837,0.585,0.163,0.297,0.108,0.067,0.263,0.488,0.512
A3EZJ3,0.151,0.121,0.728,0.229,0.48,0.422,0.089,0.059,0.121,0.151,0.728,0.461,0.259,0.398,0.172,0.028,0.283,0.537,0.463
A3FFR5,0.13,0.083,0.787,0.31,0.433,0.35,0.041,0.102,0.083,0.13,0.787,0.491,0.215,0.376,0.163,0.077,0.263,0.522,0.478
A3KMY8,0.084,0.064,0.852,0.201,0.63,0.519,0.054,0.112,0.064,0.084,0.852,0.606,0.158,0.301,0.115,0.06,0.279,0.521,0.479
A3QR02,0.193,0.118,0.689,0.21,0.443,0.381,0.062,0.098,0.118,0.193,0.689,0.473,0.291,0.303,0.095,0.039,0.148,0.417,0.583
A3RGC1,0.103,0.157,0.739,0.222,0.471,0.398,0.027,0.061,0.157,0.103,0.739,0.487,0.176,0.383,0.142,0.061,0.245,0.513,0.487
A3RLP8,0.127,0.133,0.741,0.133,0.585,0.535,0.047,0.041,0.133,0.127,0.741,0.557,0.196,0.335,0.085,0.028,0.244,0.563,0.437
A4D1B5,0.13,0.086,0.784,0.219,0.531,0.432,0.021,0.096,0.086,0.13,0.784,0.531,0.185,0.301,0.13,0.068,0.257,0.473,0.527
A4GTP0,0.118,0.113,0.769,0.231,0.469,0.389,0.056,0.107,0.113,0.118,0.769,0.469,0.242,0.364,0.127,0.04,0.236,0.56,0.44
A4HSF7,0.099,0.054,0.848,0.299,0.518,0.4,0.023,0.149,0.054,0.099,0.848,0.592,0.152,0.285,0.155,0.068,0.2,0.448,0.552
A4I591,0.14,0.1,0.76,0.201,0.526,0.467,0.04,0.045,0.1,0.14,0.76,0.536,0.213,0.339,0.126,0.043,0.265,0.504,0.496
A4IFJ5,0.153,0.093,0.753,0.24,0.493,0.42,0.093,0.117,0.093,0.153,0.753,0.477,0.267,0.343,0.13,0.027,0.27,0.517,0.483
A4KCT8,0.125,0.123,0.752,0.228,0.481,0.412,0.059,0.087,0.123,0.125,0.752,0.499,0.228,0.345,0.115,0.036,0.166,0.427,0.573
A4QPH2,0.124,0.072,0.803,0.197,0.564,0.446,0.05,0.135,0.072,0.124,0.803,0.554,0.217,0.269,0.102,0.042,0.231,0.478,0.522
A4TVL0,0.131,0.106,0.763,0.199,0.535,0.453,0.081,0.082,0.106,0.131,0.763,0.524,0.24,0.337,0.125,0.048,0.266,0.532,0.468
A4XI97,0.139,0.079,0.782,0.218,0.554,0.515,0.059,0.04,0.079,0.139,0.782,0.594,0.208,0.297,0.119,0.059,0.287,0.485,0.515
A4ZYU9,0.105,0.086,0.808,0.237,0.542,0.461,0.067,0.079,0.086,0.105,0.808,0.541,0.202,0.352,0.135,0.055,0.261,0.518,0.482
A5A4K8,0.11,0.106,0.784,0.29,0.449,0.38,0.061,0.067,0.106,0.11,0.784,0.458,0.215,0.414,0.16,0.056,0.26,0.518,0.482
A5A4K9,0.213,0.159,0.628,0.179,0.431,0.375,0.065,0.049,0.159,0.213,0.628,0.424,0.296,0.367,0.108,0.042,0.208,0.441,0.559
A5D7B7,0.129,0.104,0.767,0.268,0.451,0.366,0.043,0.146,0.104,0.129,0.767,0.472,0.22,0.337,0.141,0.03,0.211,0.47,0.53
A5H660,0.139,0.108,0.753,0.19,0.518,0.452,0.033,0.063,0.108,0.139,0.753,0.497,0.217,0.337,0.114,0.042,0.22,0.497,0.503
A5K1A2,0.155,0.125,0.72,0.223,0.444,0.36,0.044,0.103,0.125,0.155,0.72,0.463,0.252,0.336,0.113,0.048,0.188,0.442,0.558
A5K1N1,0.127,0.136,0.738,0.123,0.59,0.522,0.031,0.052,0.136,0.127,0.738,0.522,0.182,0.358,0.08,0.031,0.281,0.537,0.463
A5PKW4,0.135,0.11,0.755,0.199,0.513,0.429,0.063,0.104,0.11,0.135,0.755,0.501,0.242,0.349,0.107,0.029,0.196,0.464,0.536
A5U4N0,0.15,0.115,0.736,0.211,0.493,0.432,0.062,0.066,0.115,0.15,0.736,0.502,0.242,0.366,0.128,0.026,0.185,0.467,0.533
A5Z1V5,0.118,0.059,0.824,0.209,0.572,0.465,0.04,0.123,0.059,0.118,0.824,0.594,0.201,0.278,0.112,0.053,0.217,0.473,0.527
A5Z252,0.128,0.087,0.786,0.253,0.478,0.364,0.048,0.113,0.087,0.128,0.786,0.535,0.229,0.346,0.184,0.05,0.206,0.513,0.487
A6H249,0.141,0.13,0.728,0.26,0.426,0.37,0.054,0.061,0.13,0.141,0.728,0.439,0.237,0.408,0.167,0.036,0.23,0.503,0.497
A6QR73,0.168,0.12,0.713,0.174,0.485,0.407,0.066,0.09,0.12,0.168,0.713,0.527,0.287,0.269,0.066,0.066,0.18,0.491,0.509
A6XA80,0.048,0.092,0.86,0.311,0.515,0.416,0.043,0.128,0.092,0.048,0.86,0.487,0.125,0.441,0.171,0.046,0.276,0.526,0.474
A6YCJ1,0.153,0.122,0.724,0.233,0.471,0.404,0.042,0.098,0.122,0.153,0.724,0.473,0.216,0.347,0.104,0.06,0.247,0.458,0.542
A7L861,0.169,0.142,0.69,0.187,0.449,0.361,0.033,0.139,0.142,0.169,0.69,0.437,0.256,0.286,0.066,0.033,0.145,0.407,0.593
A7MCY6,0.062,0.069,0.869,0.233,0.605,0.497,0.043,0.134,0.069,0.062,0.869,0.588,0.136,0.322,0.138,0.04,0.271,0.514,0.486
A7XBP7,0.105,0.099,0.795,0.249,0.513,0.416,0.032,0.091,0.099,0.105,0.795,0.535,0.17,0.371,0.16,0.041,0.223,0.487,0.513
A8B2U2,0.111,0.117,0.772,0.231,0.519,0.433,0.066,0.094,0.117,0.111,0.772,0.504,0.198,0.373,0.127,0.045,0.25,0.522,0.478
A8DS27,0.082,0.016,0.901,0.165,0.709,0.588,0.033,0.143,0.016,0.082,0.901,0.67,0.143,0.22,0.104,0.022,0.269,0.44,0.56
A8K2H7,0.196,0.152,0.652,0.188,0.446,0.393,0.089,0.045,0.152,0.196,0.652,0.42,0.304,0.375,0.098,0.036,0.25,0.491,0.509
A8NS89,0.124,0.124,0.753,0.216,0.523,0.477,0.031,0.038,0.124,0.124,0.753,0.453,0.168,0.435,0.124,0.022,0.313,0.51,0.49
A8PUY1,0.139,0.092,0.769,0.282,0.436,0.353,0.103,0.079,0.092,0.139,0.769,0.444,0.293,0.37,0.12,0.071,0.22,0.513,0.487
A8Q2D1,0.158,0.143,0.7,0.18,0.5,0.411,0.059,0.084,0.143,0.158,0.7,0.505,0.236,0.34,0.103,0.044,0.204,0.448,0.552
A8RR46,0.115,0.089,0.796,0.214,0.549,0.465,0.038,0.101,0.089,0.115,0.796,0.568,0.185,0.338,0.148,0.019,0.232,0.488,0.512
A9JQL9,0.142,0.128,0.729,0.212,0.468,0.386,0.034,0.08,0.128,0.142,0.729,0.484,0.226,0.345,0.115,0.05,0.194,0.453,0.547
A9QW74,0.163,0.152,0.685,0.206,0.446,0.393,0.08,0.058,0.152,0.163,0.685,0.446,0.277,0.373,0.116,0.041,0.222,0.476,0.524
A9X4R8,0.149,0.092,0.759,0.19,0.531,0.431,0.053,0.086,0.092,0.149,0.759,0.539,0.239,0.304,0.106,0.041,0.2,0.433,0.567
A9XFY4,0.158,0.158,0.683,0.193,0.456,0.328,0.031,0.12,0.158,0.158,0.683,0.471,0.224,0.355,0.1,0.054,0.189,0.436,0.564
B0BNF9,0.115,0.095,0.791,0.273,0.463,0.374,0.046,0.101,0.095,0.115,0.791,0.469,0.216,0.392,0.176,0.059,0.289,0.568,0.432
B0FL73,0.11,0.093,0.797,0.227,0.539,0.447,0.077,0.119,0.093,0.11,0.797,0.522,0.218,0.352,0.127,0.026,0.255,0.528,0.472
B0K020,0.149,0.141,0.711,0.199,0.448,0.363,0.053,0.098,0.141,0.149,0.711,0.424,0.265,0.355,0.114,0.037,0.204,0.504,0.496
B1LRJ1,0.154,0.133,0.713,0.166,0.491,0.398,0.038,0.102,0.133,0.154,0.713,0.482,0.248,0.309,0.08,0.04,0.179,0.449,0.551
B2GV46,0.141,0.102,0.757,0.269,0.437,0.371,0.042,0.09,0.102,0.141,0.757,0.479,0.234,0.374,0.192,0.033,0.278,0.572,0.428
B2LUN4,0.151,0.131,0.718,0.198,0.48,0.417,0.076,0.062,0.131,0.151,0.718,0.485,0.267,0.352,0.121,0.029,0.19,0.475,0.525
B2RXC2,0.151,0.108,0.741,0.183,0.527,0.42,0.063,0.114,0.108,0.151,0.741,0.527,0.244,0.312,0.104,0.037,0.179,0.42,0.58
B2RXH2,0.081,0.064,0.855,0.249,0.571,0.454,0.047,0.109,0.064,0.081,0.855,0.596,0.163,0.336,0.152,0.063,0.258,0.503,0.497
B2RY04,0.103,0.057,0.841,0.262,0.516,0.392,0.035,0.132,0.057,0.103,0.841,0.603,0.2,0.292,0.176,0.059,0.211,0.5,0.5
B2ZB02,0.143,0.179,0.678,0.211,0.431,0.336,0.052,0.068,0.179,0.143,0.678,0.451,0.231,0.402,0.129,0.058,0.185,0.441,0.559
B2ZTR6,0.162,0.149,0.689,0.231,0.416,0.324,0.043,0.108,0.149,0.162,0.689,0.447,0.247,0.36,0.128,0.042,0.176,0.435,0.565
B3DH72,0.144,0.127,0.729,0.189,0.501,0.436,0.055,0.065,0.127,0.144,0.729,0.506,0.238,0.354,0.121,0.038,0.209,0.499,0.501
B3TNN2,0.131,0.08,0.79,0.182,0.597,0.466,0.085,0.176,0.08,0.131,0.79,0.619,0.227,0.21,0.074,0.034,0.159,0.352,0.648
B3VTJ2,0.125,0.125,0.749,0.198,0.507,0.44,0.045,0.07,0.125,0.125,0.749,0.496,0.214,0.362,0.123,0.036,0.265,0.538,0.462
B4EB35,0.142,0.121,0.736,0.207,0.478,0.402,0.037,0.07,0.121,0.142,0.736,0.494,0.23,0.329,0.119,0.053,0.204,0.442,0.558
B4EH87,0.127,0.103,0.77,0.258,0.476,0.399,0.049,0.09,0.103,0.127,0.77,0.5,0.212,0.376,0.161,0.069,0.281,0.539,0.461
B4FS76,0.194,0.054,0.753,0.172,0.495,0.43,0.043,0.065,0.054,0.194,0.753,0.559,0.323,0.161,0.065,0.075,0.183,0.473,0.527
B4URE7,0.18,0.185,0.635,0.195,0.399,0.34,0.016,0.055,0.185,0.18,0.635,0.422,0.237,0.39,0.099,0.034,0.179,0.38,0.62
B4URF0,0.108,0.059,0.833,0.252,0.548,0.458,0.057,0.103,0.059,0.108,0.833,0.625,0.198,0.283,0.162,0.057,0.247,0.532,0.468
B5ATN6,0.107,0.097,0.796,0.221,0.532,0.454,0.045,0.064,0.097,0.107,0.796,0.545,0.195,0.336,0.131,0.065,0.268,0.514,0.486
B5DF27,0.106,0.036,0.857,0.216,0.614,0.55,0.07,0.079,0.036,0.106,0.857,0.62,0.204,0.267,0.134,0.033,0.292,0.511,0.489
B5DFE2,0.151,0.13,0.719,0.212,0.467,0.392,0.051,0.077,0.13,0.151,0.719,0.474,0.242,0.353,0.111,0.049,0.209,0.457,0.543
B5SU02,0.177,0.141,0.682,0.203,0.448,0.352,0.038,0.097,0.141,0.177,0.682,0.458,0.246,0.34,0.099,0.058,0.19,0.406,0.594
B5THE3,0.146,0.136,0.718,0.194,0.478,0.383,0.05,0.109,0.136,0.146,0.718,0.476,0.243,0.336,0.089,0.045,0.181,0.454,0.546
B5U2Z5,0.158,0.146,0.696,0.229,0.441,0.382,0.064,0.066,0.146,0.158,0.696,0.474,0.248,0.375,0.125,0.04,0.191,0.448,0.552
B6F061,0.093,0.056,0.851,0.23,0.578,0.453,0.031,0.155,0.056,0.093,0.851,0.59,0.168,0.292,0.124,0.031,0.217,0.472,0.528
B6TK44,0.111,0.064,0.825,0.199,0.599,0.448,0.051,0.182,0.064,0.111,0.825,0.599,0.189,0.259,0.114,0.037,0.236,0.461,0.539
B7UJP3,0.137,0.144,0.719,0.19,0.482,0.426,0.037,0.066,0.144,0.137,0.719,0.468,0.222,0.388,0.117,0.022,0.236,0.524,0.476
B7UPE2,0.157,0.213,0.63,0.194,0.401,0.328,0.029,0.08,0.213,0.157,0.63,0.428,0.22,0.413,0.13,0.03,0.169,0.442,0.558
B7UUK1,0.13,0.127,0.743,0.249,0.404,0.351,0.038,0.077,0.127,0.13,0.743,0.433,0.258,0.386,0.17,0.013,0.195,0.517,0.483
B7VU80,0.14,0.124,0.736,0.206,0.494,0.407,0.066,0.089,0.124,0.14,0.736,0.478,0.242,0.367,0.127,0.041,0.226,0.518,0.482
B8PY99,0.144,0.102,0.754,0.223,0.482,0.367,0.046,0.119,0.102,0.144,0.754,0.522,0.239,0.316,0.133,0.049,0.188,0.469,0.531
B8Q4Z9,0.138,0.105,0.757,0.229,0.493,0.438,0.036,0.048,0.105,0.138,0.757,0.471,0.21,0.386,0.143,0.057,0.34,0.564,0.436
B8R6A5,0.148,0.148,0.703,0.207,0.462,0.387,0.056,0.087,0.148,0.148,0.703,0.462,0.238,0.37,0.12,0.034,0.221,0.493,0.507
B9J3S4,0.109,0.091,0.8,0.267,0.465,0.374,0.049,0.098,0.091,0.109,0.8,0.47,0.225,0.392,0.183,0.058,0.301,0.592,0.408
B9UM26,0.134,0.134,0.731,0.209,0.491,0.432,0.102,0.053,0.134,0.134,0.731,0.466,0.267,0.381,0.124,0.049,0.245,0.522,0.478
B9UM29,0.114,0.131,0.755,0.288,0.424,0.358,0.048,0.087,0.131,0.114,0.755,0.493,0.205,0.38,0.183,0.039,0.223,0.546,0.454
B9V8S1,0.175,0.129,0.696,0.22,0.444,0.372,0.054,0.082,0.129,0.175,0.696,0.458,0.261,0.34,0.127,0.047,0.202,0.467,0.533
B9W6M3,0.098,0.065,0.837,0.207,0.594,0.501,0.046,0.101,0.065,0.098,0.837,0.627,0.18,0.264,0.114,0.06,0.243,0.52,0.48
C0IX24,0.142,0.123,0.734,0.218,0.468,0.396,0.057,0.098,0.123,0.142,0.734,0.456,0.247,0.351,0.111,0.044,0.237,0.509,0.491
C0L093,0.138,0.09,0.772,0.22,0.534,0.455,0.054,0.071,0.09,0.138,0.772,0.547,0.211,0.34,0.138,0.045,0.254,0.498,0.502
C1KIQ2,0.145,0.108,0.748,0.188,0.532,0.489,0.108,0.031,0.108,0.145,0.748,0.495,0.28,0.345,0.065,0.089,0.295,0.542,0.458
C3L5T6,0.112,0.095,0.793,0.229,0.542,0.469,0.049,0.086,0.095,0.112,0.793,0.54,0.183,0.329,0.126,0.054,0.278,0.528,0.472
C3LPU7,0.137,0.11,0.753,0.166,0.572,0.511,0.049,0.061,0.11,0.137,0.753,0.528,0.2,0.359,0.103,0.029,0.291,0.545,0.455
C3SIU2,0.06,0.085,0.855,0.402,0.41,0.35,0.06,0.094,0.085,0.06,0.855,0.453,0.162,0.479,0.274,0.043,0.35,0.632,0.368
C3SLB7,0.108,0.163,0.729,0.261,0.436,0.373,0.083,0.077,0.163,0.108,0.729,0.435,0.223,0.446,0.165,0.032,0.262,0.519,0.481
C3SWJ7,0.167,0.152,0.682,0.182,0.477,0.386,0.015,0.076,0.152,0.167,0.682,0.485,0.205,0.386,0.144,0.045,0.205,0.538,0.462
C3TDZ2,0.121,0.087,0.792,0.169,0.597,0.511,0.087,0.056,0.087,0.121,0.792,0.602,0.234,0.29,0.108,0.069,0.277,0.545,0.455
C3TIE2,0.135,0.117,0.748,0.213,0.503,0.419,0.072,0.092,0.117,0.135,0.748,0.503,0.239,0.356,0.117,0.041,0.212,0.514,0.486
C4LRQ6,0.133,0.13,0.737,0.228,0.456,0.375,0.061,0.095,0.13,0.133,0.737,0.477,0.247,0.352,0.129,0.058,0.218,0.5,0.5
C4LW95,0.094,0.071,0.835,0.239,0.557,0.462,0.054,0.09,0.071,0.094,0.835,0.614,0.187,0.313,0.148,0.061,0.241,0.525,0.475
C4YTQ8,0.143,0.15,0.707,0.272,0.394,0.335,0.088,0.052,0.15,0.143,0.707,0.417,0.272,0.423,0.151,0.057,0.229,0.498,0.502
C5ISA2,0.118,0.143,0.739,0.219,0.484,0.406,0.049,0.096,0.143,0.118,0.739,0.498,0.203,0.366,0.112,0.054,0.237,0.518,0.482
C5IW59,0.134,0.107,0.759,0.237,0.489,0.411,0.068,0.077,0.107,0.134,0.759,0.463,0.236,0.395,0.141,0.04,0.264,0.514,0.486
C6ARS9,0.151,0.128,0.721,0.191,0.489,0.41,0.054,0.086,0.128,0.151,0.721,0.484,0.247,0.352,0.087,0.029,0.164,0.426,0.574
C7C422,0.12,0.044,0.836,0.222,0.553,0.444,0.041,0.12,0.044,0.12,0.836,0.614,0.222,0.231,0.123,0.058,0.193,0.474,0.526
D1MIX9,0.154,0.073,0.773,0.211,0.526,0.445,0.069,0.081,0.073,0.154,0.773,0.534,0.259,0.316,0.121,0.053,0.247,0.498,0.502
D2K2A8,0.099,0.134,0.766,0.165,0.582,0.534,0.171,0.056,0.134,0.099,0.766,0.524,0.29,0.379,0.112,0.02,0.295,0.613,0.387
D2K848,0.122,0.06,0.818,0.224,0.562,0.44,0.04,0.134,0.06,0.122,0.818,0.602,0.193,0.256,0.122,0.068,0.219,0.46,0.54
D2SSQ3,0.137,0.126,0.737,0.215,0.483,0.417,0.048,0.096,0.126,0.137,0.737,0.452,0.224,0.363,0.13,0.017,0.23,0.487,0.513
D3W065,0.072,0.026,0.902,0.255,0.597,0.466,0.05,0.1,0.026,0.072,0.902,0.671,0.172,0.283,0.198,0.065,0.194,0.434,0.566
D3Z7P3,0.156,0.137,0.707,0.194,0.476,0.38,0.051,0.098,0.137,0.156,0.707,0.483,0.244,0.338,0.103,0.052,0.19,0.447,0.553
D3ZDM7,0.118,0.121,0.762,0.197,0.529,0.444,0.05,0.076,0.121,0.118,0.762,0.5,0.203,0.347,0.091,0.056,0.232,0.518,0.482
D3ZFJ0,0.139,0.124,0.738,0.204,0.484,0.385,0.037,0.109,0.124,0.139,0.738,0.484,0.225,0.324,0.109,0.045,0.211,0.428,0.572
